Face ID,Detection Time,Bounding Box
2,15:54:38,"(229, 181, 188, 188)",N/A,N/A,No
2,15:54:38,"(249, 193, 158, 158)",N/A,N/A,No
2,15:54:38,"(250, 196, 158, 158)",N/A,N/A,No
2,15:54:42,"(251, 182, 158, 158)",N/A,N/A,No
2,15:54:51,"(254, 176, 151, 151)",N/A,N/A,No
2,15:54:51,"(255, 167, 151, 151)",N/A,N/A,No
2,15:54:51,"(258, 170, 151, 151)",N/A,N/A,No
2,15:54:52,"(251, 154, 181, 181)",N/A,N/A,No
2,15:54:52,"(245, 151, 196, 196)",N/A,N/A,No
2,15:54:52,"(251, 152, 183, 183)",N/A,N/A,No
2,15:54:52,"(250, 153, 185, 185)",N/A,N/A,No
2,15:54:52,"(258, 161, 177, 177)",N/A,N/A,No
2,15:54:52,"(256, 157, 181, 181)",N/A,N/A,No
2,15:54:52,"(256, 157, 181, 181)",N/A,N/A,No
2,15:54:52,"(257, 158, 181, 181)",N/A,N/A,No
2,15:54:53,"(261, 163, 170, 170)",N/A,N/A,No
2,15:54:53,"(267, 168, 166, 166)",N/A,N/A,No
2,15:54:53,"(257, 158, 181, 181)",N/A,N/A,No
2,15:54:53,"(258, 157, 185, 185)",N/A,N/A,No
2,15:54:53,"(260, 161, 174, 174)",N/A,N/A,No
2,15:54:53,"(262, 163, 174, 174)",N/A,N/A,No
2,15:54:53,"(262, 165, 174, 174)",N/A,N/A,No
2,15:54:53,"(267, 166, 166, 166)",N/A,N/A,No
2,15:54:53,"(252, 148, 191, 191)",N/A,N/A,No
2,15:54:53,"(253, 149, 190, 190)",N/A,N/A,No
2,15:54:53,"(252, 146, 188, 188)",N/A,N/A,No
2,15:54:53,"(258, 157, 176, 176)",N/A,N/A,No
2,15:54:54,"(255, 149, 185, 185)",N/A,N/A,No
2,15:54:54,"(253, 146, 190, 190)",N/A,N/A,No
2,15:54:54,"(254, 136, 204, 204)",N/A,N/A,No
2,15:54:54,"(255, 141, 196, 196)",N/A,N/A,No
2,15:54:54,"(255, 144, 196, 196)",N/A,N/A,No
2,15:54:54,"(260, 150, 188, 188)",N/A,N/A,No
2,15:54:54,"(252, 145, 196, 196)",N/A,N/A,No
2,15:54:54,"(252, 146, 196, 196)",N/A,N/A,No
2,15:54:54,"(249, 140, 196, 196)",N/A,N/A,No
2,15:54:55,"(252, 145, 196, 196)",N/A,N/A,No
2,15:54:55,"(249, 133, 221, 221)",N/A,N/A,No
2,15:54:55,"(247, 134, 226, 226)",N/A,N/A,No
2,15:54:55,"(249, 134, 226, 226)",N/A,N/A,No
2,15:54:56,"(266, 145, 206, 206)",N/A,N/A,No
2,15:54:56,"(263, 142, 213, 213)",N/A,N/A,No
2,15:54:56,"(270, 149, 196, 196)",N/A,N/A,No
2,15:54:57,"(275, 146, 196, 196)",N/A,N/A,No
2,15:54:57,"(270, 142, 204, 204)",N/A,N/A,No
2,15:54:57,"(271, 142, 203, 203)",N/A,N/A,No
2,15:54:57,"(274, 133, 201, 201)",N/A,N/A,No
2,15:54:57,"(273, 135, 201, 201)",N/A,N/A,No
2,15:54:57,"(273, 134, 201, 201)",N/A,N/A,No
2,15:54:57,"(270, 133, 205, 205)",N/A,N/A,No
2,15:54:57,"(269, 135, 201, 201)",N/A,N/A,No
2,15:54:57,"(270, 134, 201, 201)",N/A,N/A,No
2,15:54:57,"(273, 136, 196, 196)",N/A,N/A,No
2,15:54:57,"(260, 139, 196, 196)",N/A,N/A,No
2,15:54:58,"(262, 142, 196, 196)",N/A,N/A,No
2,15:54:58,"(266, 143, 196, 196)",N/A,N/A,No
2,15:54:58,"(266, 142, 196, 196)",N/A,N/A,No
2,15:54:58,"(265, 144, 196, 196)",N/A,N/A,No
2,15:54:58,"(269, 147, 196, 196)",N/A,N/A,No
2,15:54:58,"(270, 145, 196, 196)",N/A,N/A,No
2,15:54:58,"(272, 147, 196, 196)",N/A,N/A,No
2,15:54:58,"(271, 145, 196, 196)",N/A,N/A,No
2,15:54:58,"(270, 147, 196, 196)",N/A,N/A,No
2,15:54:58,"(269, 147, 196, 196)",N/A,N/A,No
2,15:54:58,"(269, 145, 196, 196)",N/A,N/A,No
2,15:54:58,"(270, 146, 196, 196)",N/A,N/A,No
2,15:54:59,"(271, 143, 196, 196)",N/A,N/A,No
2,15:54:59,"(268, 139, 209, 209)",N/A,N/A,No
2,15:54:59,"(265, 137, 214, 214)",N/A,N/A,No
2,15:54:59,"(271, 145, 202, 202)",N/A,N/A,No
2,15:54:59,"(269, 138, 206, 206)",N/A,N/A,No
2,15:54:59,"(273, 138, 202, 202)",N/A,N/A,No
2,15:54:59,"(267, 139, 208, 208)",N/A,N/A,No
2,15:54:59,"(268, 137, 207, 207)",N/A,N/A,No
